report_150_0.005_0.01_0.5.txt:0.1859 	 F1
report_150_0.005_0.01_1.txt:0.1941 	 F1
report_150_0.005_0.01_10.txt:0.2014 	 F1
report_150_0.005_0.01_2.txt:0.1998 	 F1
report_150_0.005_0.01_5.txt:0.2049 	 F1
report_150_0.005_0.1_0.01.txt:0.1847 	 F1
report_150_0.005_0.1_0.1.txt:0.1866 	 F1
report_150_0.005_0.1_0.5.txt:0.1879 	 F1
report_150_0.005_0.1_1.txt:0.1961 	 F1
report_150_0.005_0.1_10.txt:0.1990 	 F1
report_150_0.005_0.1_2.txt:0.1993 	 F1
report_150_0.005_0.1_5.txt:0.1992 	 F1
report_150_0.005_0.13_0.01.txt:0.1847 	 F1
report_150_0.005_0.13_0.1.txt:0.1863 	 F1
report_150_0.005_0.13_0.5.txt:0.1884 	 F1
report_150_0.005_0.13_1.txt:0.1877 	 F1
report_150_0.005_0.13_10.txt:0.1941 	 F1
report_150_0.005_0.13_2.txt:0.1953 	 F1
report_150_0.005_0.13_5.txt:0.1924 	 F1
report_150_0.005_0.25_0.01.txt:0.1858 	 F1
report_150_0.005_0.25_0.1.txt:0.1862 	 F1
report_150_0.005_0.25_0.5.txt:0.1888 	 F1
report_150_0.005_0.25_1.txt:0.1948 	 F1
report_150_0.005_0.25_10.txt:0.1935 	 F1
report_150_0.005_0.25_2.txt:0.1906 	 F1
report_150_0.005_0.25_5.txt:0.1922 	 F1
report_150_0.005_0.5_0.01.txt:0.1841 	 F1
report_150_0.005_0.5_0.1.txt:0.1857 	 F1
report_150_0.005_0.5_0.5.txt:0.1906 	 F1
report_150_0.005_0.5_1.txt:0.1924 	 F1
report_150_0.005_0.5_10.txt:0.0589 	 F1
report_150_0.005_0.5_2.txt:0.1923 	 F1
report_150_0.005_0.5_5.txt:0.1949 	 F1
report_150_0.005_1_0.01.txt:0.1869 	 F1
report_150_0.005_1_0.1.txt:0.1885 	 F1
report_150_0.005_1_0.5.txt:0.1907 	 F1
report_150_0.005_1_1.txt:0.1914 	 F1
report_150_0.005_1_10.txt:0.0293 	 F1
report_150_0.005_1_2.txt:0.1939 	 F1
report_150_0.005_1_5.txt:0.0300 	 F1
report_150_0.01_0.001_0.01.txt:0.1848 	 F1
report_150_0.01_0.001_0.1.txt:0.1859 	 F1
report_150_0.01_0.001_0.5.txt:0.2049 	 F1
report_150_0.01_0.001_1.txt:0.1935 	 F1
report_150_0.01_0.001_10.txt:0.1956 	 F1
report_150_0.01_0.001_2.txt:0.2037 	 F1
report_150_0.01_0.001_5.txt:0.2151 	 F1
report_150_0.01_0.01_0.01.txt:0.1847 	 F1
report_150_0.01_0.01_0.1.txt:0.1869 	 F1
report_150_0.01_0.01_0.5.txt:0.1927 	 F1
report_150_0.01_0.01_1.txt:0.1938 	 F1
report_150_0.01_0.01_10.txt:0.2145 	 F1
report_150_0.01_0.01_2.txt:0.2034 	 F1
report_150_0.01_0.01_5.txt:0.1991 	 F1
report_150_0.01_0.1_0.01.txt:0.1853 	 F1
report_150_0.01_0.1_0.1.txt:0.1859 	 F1
report_150_0.01_0.1_0.5.txt:0.1892 	 F1
report_150_0.01_0.1_1.txt:0.1938 	 F1
report_150_0.01_0.1_10.txt:0.1964 	 F1
report_150_0.01_0.1_2.txt:0.1989 	 F1
report_150_0.01_0.1_5.txt:0.1996 	 F1
