report_150_0.001_1_2.txt:0.2814 	 Re
report_150_0.001_1_5.txt:0.2547 	 Re
report_150_0.005_0.001_0.01.txt:0.2318 	 Re
report_150_0.005_0.001_0.1.txt:0.2318 	 Re
report_150_0.005_0.001_0.5.txt:0.2741 	 Re
report_150_0.005_0.001_1.txt:0.2448 	 Re
report_150_0.005_0.001_10.txt:0.2600 	 Re
report_150_0.005_0.001_2.txt:0.2364 	 Re
report_150_0.005_0.001_5.txt:0.2669 	 Re
report_150_0.005_0.01_0.01.txt:0.2318 	 Re
report_150_0.005_0.01_0.1.txt:0.2684 	 Re
report_150_0.005_0.01_0.5.txt:0.2531 	 Re
report_150_0.005_0.01_1.txt:0.2497 	 Re
report_150_0.005_0.01_10.txt:0.2562 	 Re
report_150_0.005_0.01_2.txt:0.2665 	 Re
report_150_0.005_0.01_5.txt:0.2276 	 Re
report_150_0.005_0.1_0.01.txt:0.2318 	 Re
report_150_0.005_0.1_0.1.txt:0.2516 	 Re
report_150_0.005_0.1_0.5.txt:0.2612 	 Re
report_150_0.005_0.1_1.txt:0.2554 	 Re
report_150_0.005_0.1_10.txt:0.2646 	 Re
report_150_0.005_0.1_2.txt:0.2596 	 Re
report_150_0.005_0.1_5.txt:0.2623 	 Re
report_150_0.005_0.13_0.01.txt:0.2276 	 Re
report_150_0.005_0.13_0.1.txt:0.2524 	 Re
report_150_0.005_0.13_0.5.txt:0.2596 	 Re
report_150_0.005_0.13_1.txt:0.2470 	 Re
report_150_0.005_0.13_10.txt:0.2981 	 Re
report_150_0.005_0.13_2.txt:0.2493 	 Re
report_150_0.005_0.13_5.txt:0.2669 	 Re
report_150_0.005_0.25_0.01.txt:0.2139 	 Re
report_150_0.005_0.25_0.1.txt:0.2585 	 Re
report_150_0.005_0.25_0.5.txt:0.2406 	 Re
report_150_0.005_0.25_1.txt:0.2848 	 Re
report_150_0.005_0.25_10.txt:0.2486 	 Re
report_150_0.005_0.25_2.txt:0.2562 	 Re
report_150_0.005_0.25_5.txt:0.2745 	 Re
report_150_0.005_0.5_0.01.txt:0.2356 	 Re
report_150_0.005_0.5_0.1.txt:0.2699 	 Re
report_150_0.005_0.5_0.5.txt:0.2608 	 Re
report_150_0.005_0.5_1.txt:0.2665 	 Re
report_150_0.005_0.5_10.txt:0.1167 	 Re
report_150_0.005_0.5_2.txt:0.2779 	 Re
report_150_0.005_0.5_5.txt:0.3008 	 Re
report_150_0.005_1_0.01.txt:0.2467 	 Re
report_150_0.005_1_0.1.txt:0.2615 	 Re
report_150_0.005_1_0.5.txt:0.2684 	 Re
report_150_0.005_1_1.txt:0.2707 	 Re
report_150_0.005_1_10.txt:0.1982 	 Re
report_150_0.005_1_2.txt:0.2871 	 Re
report_150_0.005_1_5.txt:0.3100 	 Re
report_150_0.01_0.001_0.01.txt:0.2318 	 Re
report_150_0.01_0.001_0.1.txt:0.2280 	 Re
report_150_0.01_0.001_0.5.txt:0.2623 	 Re
report_150_0.01_0.001_1.txt:0.2634 	 Re
report_150_0.01_0.001_10.txt:0.2482 	 Re
report_150_0.01_0.001_2.txt:0.2551 	 Re
report_150_0.01_0.001_5.txt:0.2531 	 Re
report_150_0.01_0.01_0.01.txt:0.2318 	 Re
report_150_0.01_0.01_0.1.txt:0.2490 	 Re
report_150_0.01_0.01_0.5.txt:0.2463 	 Re
report_150_0.01_0.01_1.txt:0.2577 	 Re
report_150_0.01_0.01_10.txt:0.2440 	 Re
report_150_0.01_0.01_2.txt:0.2337 	 Re
report_150_0.01_0.01_5.txt:0.2623 	 Re
report_150_0.01_0.1_0.01.txt:0.2295 	 Re
report_150_0.01_0.1_0.1.txt:0.2501 	 Re
report_150_0.01_0.1_0.5.txt:0.2989 	 Re
report_150_0.01_0.1_1.txt:0.2429 	 Re
report_150_0.01_0.1_10.txt:0.2756 	 Re
report_150_0.01_0.1_2.txt:0.2516 	 Re
report_150_0.01_0.1_5.txt:0.2669 	 Re
